,date,fremont_bridge_nb,fremont_bridge_sb
408,2016-01-13 00:00:00,2,1
409,2014-12-31 02:00:00,2,1
410,2017-04-18 22:00:00,13,10
411,2013-07-24 08:00:00,380,198
412,2014-05-25 05:00:00,4,3
413,2016-01-29 04:00:00,1,3
414,2015-05-30 15:00:00,117,91
415,2016-08-04 11:00:00,53,53
416,2017-03-12 15:00:00,34,27
417,2016-09-16 13:00:00,52,64
418,2017-03-16 14:00:00,28,37
419,2017-03-05 08:00:00,21,15
420,2012-10-13 05:00:00,7,3
421,2014-12-12 03:00:00,1,1
422,2016-05-15 08:00:00,22,12
423,2016-12-31 07:00:00,6,8
424,2016-07-20 09:00:00,199,116
425,2014-01-21 12:00:00,41,35
426,2014-03-11 01:00:00,1,2
427,2016-07-19 11:00:00,48,37
428,2015-09-22 12:00:00,71,44
429,2012-11-22 10:00:00,39,25
430,2017-01-19 03:00:00,0,0
431,2013-11-04 04:00:00,4,2
432,2014-12-07 20:00:00,10,11
433,2013-09-24 23:00:00,12,13
434,2016-04-07 23:00:00,16,19
435,2015-03-07 08:00:00,46,49
436,2017-01-01 08:00:00,2,3
437,2014-05-08 17:00:00,123,302
438,2015-06-10 00:00:00,7,10
439,2017-04-10 15:00:00,27,41
440,2012-10-15 10:00:00,57,29
441,2017-02-25 07:00:00,12,10
442,2017-02-12 01:00:00,3,4
443,2014-09-02 02:00:00,2,0
444,2016-03-20 23:00:00,3,1
445,2015-01-05 19:00:00,36,54
446,2016-11-28 11:00:00,31,31
447,2015-03-18 04:00:00,4,5
448,2013-12-29 19:00:00,11,5
449,2013-03-24 18:00:00,49,33
450,2013-05-04 03:00:00,4,3
451,2014-04-15 09:00:00,196,97
452,2014-10-20 01:00:00,4,4
453,2016-03-31 07:00:00,323,115
454,2015-02-07 06:00:00,5,11
455,2014-08-14 22:00:00,33,31
456,2013-04-05 05:00:00,7,8
457,2016-04-09 13:00:00,109,101
458,2013-09-29 11:00:00,22,15
459,2016-04-13 21:00:00,23,37
460,2017-01-07 02:00:00,1,2
461,2015-06-04 09:00:00,179,108
462,2013-03-26 21:00:00,26,30
463,2017-01-21 11:00:00,51,43
464,2017-01-07 16:00:00,27,22
465,2013-10-31 20:00:00,27,30
466,2016-08-28 18:00:00,39,35
467,2013-08-19 21:00:00,33,46
468,2016-10-01 12:00:00,59,48
469,2013-06-28 20:00:00,55,72
470,2014-05-26 20:00:00,42,42
471,2015-10-22 02:00:00,3,1
472,2013-10-11 03:00:00,2,0
473,2017-01-15 01:00:00,3,1
474,2017-05-19 00:00:00,6,9
475,2013-04-11 01:00:00,4,10
476,2016-09-07 00:00:00,5,5
477,2014-05-24 15:00:00,97,104
478,2014-10-11 04:00:00,4,1
479,2014-03-05 10:00:00,36,27
480,2014-09-17 13:00:00,0,60
481,2016-10-08 19:00:00,13,7
482,2014-11-01 16:00:00,53,51
483,2014-04-06 13:00:00,87,80
484,2013-02-06 23:00:00,4,9
485,2012-10-12 16:00:00,69,96
486,2017-05-16 09:00:00,75,81
487,2015-08-17 10:00:00,82,49
488,2014-07-14 16:00:00,119,224
489,2013-12-05 03:00:00,2,1
490,2014-07-13 12:00:00,119,73
491,2015-12-24 14:00:00,35,30
492,2014-06-21 17:00:00,78,109
493,2014-10-21 17:00:00,147,335
494,2016-12-02 12:00:00,23,22
495,2013-08-05 17:00:00,206,427
496,2014-04-11 00:00:00,5,13
497,2016-04-05 19:00:00,69,123
498,2013-08-03 13:00:00,96,72
499,2013-10-04 01:00:00,4,12
500,2017-01-08 04:00:00,0,0
501,2014-05-24 00:00:00,10,7
502,2014-04-29 17:00:00,207,496
503,2013-03-07 00:00:00,2,3
504,2015-01-12 22:00:00,13,12
505,2014-07-03 08:00:00,313,142
506,2013-10-14 21:00:00,25,26
507,2013-03-29 06:00:00,73,37
508,2014-11-27 03:00:00,2,0
509,2017-02-26 12:00:00,13,21
510,2013-07-15 08:00:00,371,166
